time,entity,current1,current2,current3,pressure1,pressure2,pressure3,rate1,rate2,rate3,temperature1,temperature2,temperature3,torque1,torque2,torque3
1487932130880,machine1,8.8438,-0.075119,4.9842,0.12891,5.181,7.8066,low,low,9.5838,-7.3653,8.332,0.86964,-7.5481,-9.8092,-0.58611
1487932200000,machine1,7.8949,-1.1746,,-0.55574,6.67,7.7558,low,low,9.3057,-4.9635,5.7572,0.11039000000000002,-8.6214,-10.675999999999998,-1.3238
1487932269120,machine1,,,3.6103,-0.83383,5.6292,7.8902,low,low,8.8757,-2.531,3.4191,0.18432,-9.868,-11.777000000000001,-2.8568
1487932338240,machine1,8.2424,,4.5977,-0.47218999999999994,5.8063,7.8641,low,low,8.9183,-1.2774,2.1647,0.05330700000000001,-9.103,-10.725,-3.7375
1487932407360,machine1,,,5.7181,-0.11921,6.1082,7.5906,low,low,9.1064,-0.39342,1.7326,0.19158,-8.3533,-10.197000000000001,-3.9998
1487932476480,machine1,,-1.4781,4.4729,-0.007744,6.1628,7.3437,low,low,9.3498,0.46728000000000003,1.406,0.19422999999999999,-8.0822,-9.4744,-3.7393
1487932545600,machine1,,,3.3392,-0.46115,5.8392,7.5824,low,low,8.9443,0.11953,2.0808,-0.083597,-8.4557,-9.3265,-2.8264
1487932614720,machine1,,-1.3853,3.5408,-0.7758,5.8065,7.8331,low,low,8.9236,-1.9396,4.4281,-0.21756,-9.4589,-9.8575,-1.3058
1487932683840,machine1,,,4.8816,-0.62129,5.9076,7.9852,low,low,8.7779,-3.0485,4.9499,-0.4955,-9.4654,-9.2447,-1.379
1487932752960,machine1,8.7626,-1.7618,4.5846,0.063915,5.5645,7.7253,low,low,8.9635,-4.9356,5.5604,-1.2093,-9.6071,-9.2016,-0.67903
1487932822080,machine1,,-1.5977,,-0.18785,5.5786,7.8162,low,low,9.152999999999999,-7.8582,7.4829,-1.0075,-8.0782,-9.0088,-0.17456
1487932891200,machine1,,-0.95301,4.648,-0.51337,5.7188,7.9121,low,low,9.2173,-10.536,8.7428,0.070204,-7.9141,-9.4654,-0.14314000000000002
1487932960320,machine1,,-0.48711000000000004,,-0.51448,5.8386,7.7133,low,low,9.1433,-10.227,9.7175,0.42049,-6.7744,-8.8962,0.05694199999999999
1487933029440,machine1,,-0.1853,,-0.7929,5.8041,7.8378,low,low,9.2184,-9.9929,10.797,0.67161,-5.153,-7.0453,0.50768
1487933098560,machine1,,0.33986,,-1.0039,5.9811,7.8228,low,low,8.8512,-10.458,11.245999999999999,0.63926,-3.1107,-4.0832,0.73098
1487933167680,machine1,8.8176,0.72511,,-1.0773,5.9932,7.8321,low,low,9.155,-10.565,11.383,-0.023282,-0.94944,-1.6578,0.6545
1487933236800,machine1,,,4.5728,-0.6201800000000001,5.9123,7.0229,low,low,9.1605,-10.145,10.668,-0.73433,0.52078,-0.54496,0.8765799999999999
1487933305920,machine1,,,3.8873,-1.9594,5.3367,7.7508,low,low,8.7734,-9.6338,9.4974,-1.9833,0.90941,-0.76891,0.31478
1487933375040,machine1,,0.6208100000000001,,-2.3545,7.1115,8.7212,low,low,8.7165,-9.6861,8.2431,-1.5928,-0.20137,-2.3868,0.91917
1487933444160,machine1,9.0059,,3.4362,-1.023,6.5586,7.7329,low,low,8.64,-9.701,8.4361,-1.1431,-2.1828,-4.4753,0.52148
1487933513280,machine1,,0.6120899999999999,4.247,-0.8840600000000001,5.3451,7.9907,low,low,8.7725,-10.64,8.3102,-0.62167,-3.6543,-6.1695,-0.068235
1487933582400,machine1,,,5.1457,-1.06,5.4463,8.1286,low,low,8.7474,-10.839,8.1253,0.36491,-6.5335,-8.1975,0.55
1487933651520,machine1,9.4218,0.74316,4.7854,-1.2162,6.2799,8.2019,low,low,8.6579,-9.9728,8.7093,1.4471,-7.7771,-8.4392,0.8346299999999999
1487933720640,machine1,8.9657,0.29586,,-0.44354,5.9667,7.7921,low,veryLow,8.6671,-9.3013,7.5556,1.7619,-8.274,-9.9461,0.8968700000000001
1487933789760,machine1,8.3657,-0.17624,5.2638,-0.4442,5.2154,7.7255,low,veryLow,9.4396,-7.5228,7.1822,1.2729,-8.3968,-10.565999999999999,-1.2285
1487933858880,machine1,7.5885,-0.55585,,-1.136,4.9022,8.3322,low,low,8.8424,-4.6924,5.2247,0.23676,-9.2595,-10.94,-1.9762
1487933928000,machine1,7.8595,-1.6982,5.265,-1.0973,4.9462,8.2549,low,veryLow,8.7571,-2.4746,3.3191,-1.1121,-8.5336,-10.805,-2.9945
1487933997120,machine1,,,,0.001546,5.0524,8.3156,low,veryLow,8.1881,-0.49523999999999996,1.4339,-2.1657,-9.7773,-10.731,-3.3888
1487934066240,machine1,,,4.7748,0.19434,5.2923,8.3422,low,veryLow,8.6167,1.3295,1.088,-2.0086,-9.5298,-10.732999999999999,-3.1157
1487934135360,machine1,,,3.6875,0.26583,5.6717,8.111,low,veryLow,8.3902,2.1518,1.7141,-0.29716,-8.6135,-9.3332,-3.0292
1487934204480,machine1,,-2.226,3.5766,0.81338,5.0322,7.4942,low,low,7.9512,0.27558,3.4166,-0.29169,-9.2921,-8.3044,-1.5214
1487934273600,machine1,8.7905,-3.1992,2.7034,1.2293,6.1855,7.6308,low,low,7.981,-2.3662,5.3457,-1.3898,-9.2762,-8.5037,-0.10228
1487934342720,machine1,,-2.2519,4.0774,-0.5337,5.1531,8.5752,low,low,8.3913,-3.9741,5.7738,-1.265,-9.3669,-8.732999999999999,-0.61242
1487934411840,machine1,,-1.255,5.1275,-0.35264,3.6006,8.7296,low,low,8.6376,-5.9541,5.9676,-1.0649,-9.2645,-10.175,-0.65193
1487934480960,machine1,8.8638,-0.71887,4.7269,-0.48999,4.9747,8.3633,low,low,8.5775,-8.2246,6.2927,-0.25553000000000003,-8.6524,-11.357999999999999,-0.80166
1487934550080,machine1,8.3429,,,-0.8903700000000001,4.698,8.4276,low,low,8.4952,-10.558,7.3816,0.77681,-7.7523,-10.57,-0.90386
1487934619200,machine1,,-0.55665,,-0.7369,4.789,7.6829,low,veryLow,9.0643,-11.505999999999998,9.0023,1.5213,-6.3401,-8.321,-0.7095899999999999
1487934688320,machine1,,0.055504,4.5796,-0.7724,5.2303,7.6749,low,low,8.5985,-10.974,10.144,1.6508,-4.2528,-5.5681,-0.36061
1487934757440,machine1,,0.83006,5.0633,-1.0521,4.68,7.1534,low,low,8.101,-11.052999999999999,10.982999999999999,1.6708,-2.3604,-2.9939,0.10413
1487934826560,machine1,,,,-1.4809,5.6416,8.3289,low,low,8.2276,-11.503,11.089,1.204,-0.85849,-0.82026,0.26983
1487934895680,machine1,,,4.6183,-2.5203,4.5467,9.625,low,low,8.456,-10.638,11.102,0.53857,0.6855399999999999,-0.21475999999999998,0.22285
1487934964800,machine1,8.597999999999999,,3.7659,-1.4883,5.6827,8.3485,low,low,8.9744,-8.8358,9.471,-2.237,0.92412,-1.1288,0.6875899999999999
1487935033920,machine1,,,3.6928,-0.30572,6.1991,8.8198,low,low,8.7663,-10.315,9.6666,-2.0043,-0.31414000000000003,-2.7832,1.2001
1487935103040,machine1,8.9846,,4.3665,-1.2789,4.8981,8.1518,low,low,8.6182,-9.9509,7.5787,-0.93685,-2.0928,-4.6713,0.91094
1487935172160,machine1,9.5729,1.2674,4.9094,-1.3242,6.1112,8.0134,low,low,8.8048,-10.179,7.1103,-0.34069,-4.4629,-5.9869,0.053065
1487935241280,machine1,9.4465,,,-1.7546,5.1558,8.0574,low,low,8.9559,-9.7405,7.7184,-0.062447,-7.5532,-8.1964,-0.56539
